"","V1"
"1137.txt",8
"1138.txt",4
"1139.txt",2
"113.txt",2
"1140.txt",7
"1141.txt",5
"1142.txt",8
"1143.txt",5
"1144.txt",4
"1145.txt",4
"1146.txt",2
"1147.txt",2
"1148.txt",10
"1149.txt",4
"114.txt",5
"1150.txt",2
"1151.txt",2
"1152.txt",2
"1153.txt",4
"1154.txt",9
"1155.txt",3
"1156.txt",4
"1157.txt",7
"1158.txt",4
"1159.txt",6
"115.txt",7
"1160.txt",10
"1161.txt",8
"1162.txt",8
"1163.txt",4
"1164.txt",4
"1165.txt",4
"1166.txt",10
"1167.txt",1
"1168.txt",1
"1169.txt",4
"116.txt",5
"1170.txt",2
"1171.txt",5
"1172.txt",7
"1173.txt",4
"1174.txt",1
"1175.txt",4
"1176.txt",4
"1177.txt",6
"1178.txt",6
"1179.txt",2
"117.txt",9
"1180.txt",2
"1181.txt",2
"1182.txt",9
"1183.txt",1
"1184.txt",9
"1185.txt",5
"1186.txt",2
"1187.txt",2
"1188.txt",3
"1189.txt",4
"118.txt",10
"1190.txt",6
"1191.txt",2
"1192.txt",2
"1193.txt",6
"1194.txt",3
"1195.txt",2
"1196.txt",6
"1197.txt",2
"1198.txt",6
"1199.txt",1
"119.txt",10
"11.txt",10
"1200.txt",2
"1201.txt",2
"1202.txt",6
"1203.txt",9
"1204.txt",2
"1205.txt",2
"1206.txt",4
"1207.txt",1
"1208.txt",4
"1209.txt",2
"120.txt",1
"1210.txt",2
"1211.txt",9
"1212.txt",2
"1213.txt",2
"1214.txt",2
"1215.txt",1
"1216.txt",8
"1217.txt",9
"1218.txt",5
"1219.txt",2
"121.txt",1
"1220.txt",6
"1221.txt",8
"1222.txt",4
"1223.txt",3
"1224.txt",1
"1225.txt",2
"1226.txt",8
"1227.txt",6
"1228.txt",1
"1229.txt",10
"122.txt",10
"1230.txt",9
"1231.txt",4
"1232.txt",6
"1233.txt",7
"1234.txt",5
"1235.txt",6
"1236.txt",4
"1237.txt",2
"1238.txt",4
"1239.txt",2
"123.txt",2
"1240.txt",2
"1241.txt",7
"1242.txt",4
"1243.txt",4
"1244.txt",1
"1245.txt",8
"1246.txt",5
"1247.txt",4
"1248.txt",10
"1249.txt",4
"124.txt",10
"1250.txt",3
"1251.txt",9
"1252.txt",9
"1253.txt",6
"1254.txt",6
"1255.txt",2
"1256.txt",1
"1257.txt",9
"1258.txt",3
"1259.txt",6
"125.txt",1
"1260.txt",8
"1261.txt",6
"1262.txt",6
"1263.txt",9
"1264.txt",3
"1265.txt",2
"1266.txt",9
"1267.txt",9
"1268.txt",6
"1269.txt",8
"126.txt",10
"1270.txt",9
"1271.txt",6
"1272.txt",2
"1273.txt",2
"1274.txt",9
"1275.txt",5
"1276.txt",2
"1277.txt",1
"1278.txt",3
"1279.txt",1
"127.txt",10
"1280.txt",3
"1281.txt",1
"1282.txt",3
"1283.txt",2
"1284.txt",5
"1285.txt",4
"1286.txt",7
"1287.txt",9
"1288.txt",4
"1289.txt",4
"128.txt",10
"1290.txt",6
"1291.txt",7
"1292.txt",4
"1293.txt",2
"1294.txt",1
"1295.txt",1
"1296.txt",2
"1297.txt",5
"1298.txt",10
"1299.txt",9
"129.txt",10
"12.txt",10
"1300.txt",9
"1301.txt",6
"1302.txt",2
"1303.txt",5
"1304.txt",6
"1305.txt",8
"1306.txt",2
"1307.txt",9
"1308.txt",4
"1309.txt",4
"130.txt",3
"1310.txt",9
"1311.txt",6
"1312.txt",4
"1313.txt",5
"1314.txt",6
"1315.txt",9
"1316.txt",2
"1317.txt",5
"1318.txt",9
"1319.txt",7
"131.txt",7
"1320.txt",9
"1321.txt",9
"1322.txt",5
"1323.txt",2
"1324.txt",1
"1325.txt",1
"1326.txt",6
"1327.txt",2
"1328.txt",8
"1329.txt",1
"132.txt",8
"1330.txt",1
"1331.txt",6
"1332.txt",5
"1333.txt",6
"1334.txt",7
"1335.txt",7
"1336.txt",1
"1337.txt",8
"1338.txt",8
"1339.txt",2
"133.txt",3
"1340.txt",1
"1341.txt",3
"1342.txt",1
"1343.txt",5
"1344.txt",8
"1345.txt",5
"1346.txt",2
"1347.txt",5
"1348.txt",5
"1349.txt",5
"1350.txt",7
"1351.txt",5
"1352.txt",7
"1353.txt",4
"1354.txt",1
"1355.txt",6
"1356.txt",6
"1357.txt",5
"1358.txt",5
"1359.txt",1
"135.txt",2
"1360.txt",9
"1361.txt",7
"1362.txt",1
"1363.txt",1
"1364.txt",9
"1365.txt",6
"1366.txt",8
"1367.txt",5
"1368.txt",5
"1369.txt",5
"136.txt",1
"1370.txt",5
"1371.txt",3
"1372.txt",5
"1373.txt",5
"1374.txt",5
"1375.txt",5
"1376.txt",5
"1377.txt",10
"1378.txt",5
"1379.txt",5
"137.txt",7
"1380.txt",5
"1381.txt",5
"1382.txt",5
"1383.txt",6
"1384.txt",1
"1385.txt",6
"1386.txt",5
"1387.txt",5
"1388.txt",5
"1389.txt",5
"138.txt",3
"1390.txt",5
"1391.txt",3
"1392.txt",5
"1393.txt",5
"1394.txt",5
"1395.txt",9
"1396.txt",10
"1397.txt",5
"1398.txt",5
"1399.txt",2
"139.txt",9
"13.txt",3
"1400.txt",1
"1401.txt",5
"1402.txt",5
"1403.txt",1
"1404.txt",5
"1405.txt",1
"1406.txt",5
"1407.txt",3
"1408.txt",2
"1409.txt",8
"140.txt",9
"1410.txt",5
"1411.txt",8
"1412.txt",5
"1413.txt",2
"1414.txt",5
"1415.txt",5
"1416.txt",5
"1417.txt",5
"1418.txt",5
"1419.txt",5
"141.txt",7
"1420.txt",5
"1421.txt",4
"1422.txt",2
"1423.txt",5
"1424.txt",5
"1425.txt",5
"1426.txt",5
"1427.txt",3
"1428.txt",5
"1429.txt",2
"142.txt",2
"1430.txt",1
"1431.txt",5
"1432.txt",7
"1433.txt",1
"1434.txt",1
"1435.txt",5
"1436.txt",1
"1437.txt",1
"1438.txt",4
"1439.txt",7
"143.txt",2
"1440.txt",1
"1441.txt",2
"1442.txt",5
"1443.txt",5
"1444.txt",4
"1445.txt",2
"1446.txt",2
"1447.txt",8
"1448.txt",2
"1449.txt",5
"144.txt",1
"1450.txt",7
"1451.txt",5
"1452.txt",10
"1453.txt",6
"1454.txt",9
"1455.txt",1
"1456.txt",1
"1457.txt",5
"1458.txt",7
"1459.txt",2
"145.txt",2
"1460.txt",6
"1461.txt",8
"1462.txt",7
"1463.txt",8
"1464.txt",9
"1465.txt",7
"1466.txt",5
"1467.txt",1
"1468.txt",5
"1469.txt",7
"146.txt",3
"1470.txt",3
"1471.txt",8
"1472.txt",2
"1473.txt",5
"1474.txt",1
"1475.txt",2
"1476.txt",1
"1477.txt",5
"1478.txt",5
"1479.txt",5
"147.txt",10
"1480.txt",9
"1481.txt",1
"1482.txt",7
"1483.txt",5
"1484.txt",1
"1485.txt",6
"1486.txt",7
"1487.txt",5
"1488.txt",5
"1489.txt",5
"148.txt",3
"1490.txt",5
"1491.txt",5
"1492.txt",7
"1493.txt",2
"1494.txt",5
"1495.txt",2
"1496.txt",5
"1497.txt",5
"1498.txt",7
"1499.txt",4
"149.txt",7
"14.txt",3
"1500.txt",5
"1501.txt",5
"1502.txt",3
"1503.txt",5
"1504.txt",5
"1505.txt",6
"1506.txt",4
"1507.txt",1
"1508.txt",5
"1509.txt",5
"150.txt",3
"1510.txt",1
"1511.txt",5
"1512.txt",5
"1513.txt",1
"1514.txt",2
"1515.txt",6
"1516.txt",2
"1517.txt",3
"1518.txt",1
"1519.txt",5
"151.txt",1
"1520.txt",3
"1521.txt",10
"1522.txt",5
"1523.txt",2
"1524.txt",5
"1525.txt",8
"1526.txt",1
"1527.txt",1
"1528.txt",5
"1529.txt",6
"152.txt",3
"1530.txt",6
"1531.txt",1
"1532.txt",5
"1533.txt",5
"1534.txt",5
"1535.txt",5
"1536.txt",5
"1537.txt",7
"1538.txt",9
"1539.txt",5
"153.txt",8
"1540.txt",2
"1541.txt",2
"1542.txt",3
"1543.txt",10
"1544.txt",5
"1545.txt",10
"1546.txt",4
"1547.txt",9
"1548.txt",10
"1549.txt",4
"154.txt",10
"1550.txt",2
"1551.txt",6
"1552.txt",2
"1553.txt",2
"1554.txt",1
"1555.txt",2
"1556.txt",8
"1557.txt",10
"1558.txt",2
"1559.txt",10
"155.txt",5
"1560.txt",8
"1561.txt",1
"1562.txt",3
"1563.txt",10
"1564.txt",1
"1565.txt",2
"1566.txt",8
"1567.txt",2
"1568.txt",8
"1569.txt",8
"156.txt",5
"1570.txt",5
"1571.txt",10
"1572.txt",1
"1573.txt",5
"1574.txt",1
"1575.txt",10
"1576.txt",8
"1577.txt",10
"1578.txt",9
"1579.txt",8
"157.txt",2
"1580.txt",2
"1581.txt",6
"1582.txt",10
"1583.txt",10
"1584.txt",10
"1585.txt",10
"1586.txt",8
"1587.txt",8
"1588.txt",6
"1589.txt",10
"158.txt",8
"1590.txt",10
"1591.txt",10
"1592.txt",5
"1593.txt",5
"1594.txt",5
"1595.txt",10
"1596.txt",10
"1597.txt",3
"1598.txt",5
"1599.txt",10
"159.txt",2
"15.txt",8
"1600.txt",10
"1601.txt",1
"1602.txt",10
"1603.txt",10
"1604.txt",9
"1605.txt",10
"1606.txt",10
"1607.txt",10
"1608.txt",10
"1609.txt",8
"160.txt",8
"1610.txt",10
"1611.txt",10
"1612.txt",3
"1613.txt",10
"1614.txt",10
"1615.txt",10
"1616.txt",1
"1617.txt",10
"1618.txt",10
"1619.txt",1
"161.txt",10
"1620.txt",4
"1621.txt",10
"1622.txt",2
"1623.txt",4
"1624.txt",10
"1625.txt",10
"1626.txt",4
"1627.txt",3
"1628.txt",8
"1629.txt",7
"162.txt",5
"1630.txt",8
"1631.txt",3
"1632.txt",8
"1633.txt",7
"1634.txt",10
"1635.txt",7
"1636.txt",10
"1637.txt",1
"1638.txt",4
"1639.txt",1
"163.txt",1
"1640.txt",9
"1641.txt",3
"1642.txt",5
"1643.txt",9
"1644.txt",10
"1645.txt",1
"1646.txt",9
"1647.txt",5
"1648.txt",5
"1649.txt",9
"164.txt",3
"1650.txt",2
"1651.txt",5
"1652.txt",5
"1653.txt",5
"1654.txt",10
"1655.txt",2
"1656.txt",7
"1657.txt",1
"1658.txt",8
"1659.txt",10
"165.txt",4
"1660.txt",8
"1661.txt",10
"1662.txt",4
"1663.txt",8
"1664.txt",1
"1665.txt",9
"1666.txt",9
"1667.txt",2
"1668.txt",6
"1669.txt",3
"166.txt",10
"1670.txt",9
"1671.txt",7
"1672.txt",8
"1673.txt",4
"1674.txt",2
"1675.txt",4
"1676.txt",10
"1677.txt",1
"1678.txt",5
"1679.txt",10
"167.txt",8
"1680.txt",10
"1681.txt",10
"1682.txt",10
"1683.txt",9
"1684.txt",1
"1685.txt",9
"1686.txt",9
"1687.txt",8
"1688.txt",10
"1689.txt",9
"168.txt",2
"1690.txt",4
"1691.txt",4
"1692.txt",4
"1693.txt",10
"1694.txt",10
"1695.txt",1
"1696.txt",1
"1697.txt",1
"1698.txt",10
"1699.txt",4
"169.txt",3
"16.txt",8
"1700.txt",4
"1701.txt",10
"1702.txt",2
"1703.txt",4
"1704.txt",4
"1705.txt",8
"1706.txt",4
"1707.txt",10
"1708.txt",3
"1709.txt",4
"170.txt",10
"1710.txt",10
"1711.txt",10
"1712.txt",1
"1713.txt",7
"1714.txt",3
"1715.txt",4
"1716.txt",10
"1717.txt",3
"1718.txt",5
"1719.txt",3
"171.txt",6
"1720.txt",9
"1721.txt",10
"1722.txt",9
"1723.txt",5
"1724.txt",7
"1725.txt",9
"1726.txt",1
"1727.txt",10
"1728.txt",8
"1729.txt",3
"172.txt",8
"1730.txt",6
"1731.txt",10
"1732.txt",7
"1733.txt",4
"1734.txt",10
"1735.txt",6
"1736.txt",10
"1737.txt",10
"1738.txt",6
"1739.txt",3
"173.txt",1
"1740.txt",2
"1741.txt",2
"1742.txt",7
"1743.txt",2
"1744.txt",9
"1745.txt",8
"1746.txt",5
"1747.txt",7
"1748.txt",2
"1749.txt",1
"174.txt",9
"1750.txt",4
"1751.txt",1
"1752.txt",10
"1753.txt",5
"1754.txt",6
"1755.txt",3
"1756.txt",9
"1757.txt",2
"1758.txt",2
"1759.txt",10
"175.txt",8
"1760.txt",4
"1761.txt",6
"1762.txt",10
"1763.txt",2
"1764.txt",2
"1765.txt",2
"1766.txt",2
"1767.txt",2
"1768.txt",10
"1769.txt",5
"176.txt",7
"1770.txt",6
"1771.txt",4
"1772.txt",5
"1773.txt",2
"1774.txt",5
"1775.txt",8
"1776.txt",2
"1777.txt",7
"1778.txt",1
"1779.txt",4
"177.txt",9
"1780.txt",10
"1781.txt",7
"1782.txt",10
"1783.txt",10
"1784.txt",10
"1785.txt",1
"1786.txt",3
"1787.txt",10
"1788.txt",3
"1789.txt",3
"178.txt",7
"1790.txt",10
"1791.txt",10
"1792.txt",3
"1793.txt",6
"1794.txt",1
"1795.txt",10
"1796.txt",8
"1797.txt",3
"1798.txt",5
"1799.txt",2
"179.txt",10
"17.txt",5
"1800.txt",1
"1801.txt",2
"1802.txt",3
"1803.txt",1
"1804.txt",1
"1806.txt",2
"1807.txt",4
"1808.txt",2
"1809.txt",2
"180.txt",2
"1810.txt",3
"1811.txt",3
"1812.txt",6
"1813.txt",2
"1814.txt",1
"1815.txt",5
"1816.txt",3
"1817.txt",1
"1818.txt",3
"1819.txt",5
"181.txt",1
"1820.txt",8
"1821.txt",2
"1822.txt",9
"1823.txt",1
"1824.txt",9
"1825.txt",5
"1826.txt",4
"1827.txt",2
"1828.txt",3
"1829.txt",5
"182.txt",9
"1830.txt",7
"1831.txt",2
"1832.txt",9
"1834.txt",8
"1835.txt",9
"1836.txt",8
"1837.txt",10
"1838.txt",8
"1839.txt",2
"183.txt",4
"1840.txt",1
"1841.txt",8
"1842.txt",10
"1843.txt",10
"1844.txt",1
"1845.txt",7
"1846.txt",8
"1847.txt",7
"1848.txt",10
"1849.txt",1
"184.txt",8
"1850.txt",1
"1851.txt",8
"1852.txt",1
"1853.txt",6
"1854.txt",7
"1855.txt",2
"1856.txt",1
"1857.txt",5
"1858.txt",3
"1859.txt",10
"185.txt",10
"1860.txt",5
"1861.txt",8
"1862.txt",3
"1863.txt",9
"1864.txt",3
"1865.txt",2
"1866.txt",7
"1867.txt",10
"1868.txt",6
"1869.txt",8
"186.txt",3
"1870.txt",6
"1871.txt",4
"1872.txt",2
"1873.txt",8
"1874.txt",3
"1875.txt",7
"1876.txt",3
"1877.txt",8
"1878.txt",1
"1879.txt",1
"187.txt",2
"1880.txt",5
"1882.txt",7
"1883.txt",2
"1884.txt",1
"1885.txt",1
"1886.txt",3
"1887.txt",2
"1888.txt",8
"1889.txt",7
"188.txt",8
"1890.txt",9
"1891.txt",2
"1892.txt",6
"1893.txt",6
"1894.txt",6
"1895.txt",7
"1896.txt",1
"1897.txt",1
"1898.txt",10
"1899.txt",10
"189.txt",9
"18.txt",2
"1900.txt",8
"1901.txt",10
"1902.txt",1
"1903.txt",9
"1904.txt",10
"1905.txt",2
"1906.txt",8
"1907.txt",10
"1908.txt",10
"1909.txt",9
"190.txt",2
"1910.txt",10
"1911.txt",8
"1912.txt",3
"1913.txt",10
"1914.txt",10
"1915.txt",4
"1916.txt",8
"1917.txt",10
"1918.txt",3
"1919.txt",1
"191.txt",7
"1920.txt",6
"1921.txt",5
"1922.txt",9
"1923.txt",1
"1924.txt",3
"1925.txt",10
"1926.txt",1
"1927.txt",1
"1928.txt",7
"1929.txt",4
"192.txt",2
"1930.txt",5
"1931.txt",3
"1932.txt",8
"1933.txt",7
"1934.txt",1
"1935.txt",5
"1936.txt",5
"1937.txt",2
"1938.txt",7
"1939.txt",4
"193.txt",10
"1940.txt",10
"1941.txt",3
"1942.txt",8
"1943.txt",10
"1944.txt",1
"1945.txt",1
"1946.txt",3
"1947.txt",1
"1948.txt",5
"1949.txt",4
"194.txt",1
"1950.txt",4
"1951.txt",7
"1952.txt",9
"1953.txt",2
"1954.txt",7
"1955.txt",1
"1956.txt",5
"1957.txt",9
"1958.txt",2
"1959.txt",1
"195.txt",8
"1960.txt",7
"1961.txt",3
"1962.txt",3
"1963.txt",9
"1964.txt",4
"1965.txt",4
"1966.txt",1
"1967.txt",1
"1968.txt",1
"1969.txt",3
"196.txt",9
"1970.txt",8
"1971.txt",4
"1972.txt",7
"1973.txt",6
"1974.txt",7
"1975.txt",1
"1976.txt",7
"1977.txt",4
"1978.txt",9
"1979.txt",8
"197.txt",3
"1980.txt",10
"1981.txt",2
"1982.txt",7
"1983.txt",7
"1984.txt",7
"1985.txt",8
"1986.txt",7
"1987.txt",4
"1988.txt",3
"1989.txt",4
"198.txt",5
"1990.txt",1
"1991.txt",5
"1992.txt",1
"1993.txt",10
"1994.txt",7
"1995.txt",4
"1996.txt",2
"1997.txt",7
"1998.txt",1
"1999.txt",9
"199.txt",7
"19.txt",7
"2000.txt",9
"2001.txt",9
"2002.txt",1
"2003.txt",9
"2004.txt",3
"2005.txt",3
"2006.txt",3
"2007.txt",3
"2008.txt",7
"2009.txt",4
"200.txt",10
"2010.txt",2
"2011.txt",3
"2012.txt",1
"2013.txt",1
"2014.txt",3
"2015.txt",3
"2016.txt",1
"2017.txt",1
"2018.txt",7
"2019.txt",6
"201.txt",3
"2020.txt",9
"2021.txt",4
"2022.txt",1
"2023.txt",3
"2024.txt",6
"2025.txt",3
"2026.txt",3
"2027.txt",5
"2028.txt",1
"2029.txt",3
"202.txt",1
"2030.txt",3
"2031.txt",3
"2032.txt",3
"2033.txt",5
"2034.txt",3
"2035.txt",9
"2036.txt",8
"2037.txt",3
"2038.txt",2
"2039.txt",3
"2040.txt",3
"2041.txt",3
"2042.txt",8
"2043.txt",4
"2044.txt",3
"2045.txt",1
"2046.txt",4
"2047.txt",6
"2048.txt",6
"2049.txt",8
"204.txt",8
"2050.txt",2
"2051.txt",2
"2052.txt",4
"2053.txt",5
"2054.txt",7
"2055.txt",2
"2056.txt",2
"2057.txt",4
"2058.txt",10
"2059.txt",7
"205.txt",1
"2060.txt",2
"2061.txt",3
"2062.txt",5
"2063.txt",2
"2064.txt",2
"2065.txt",1
"2066.txt",2
"2067.txt",3
"2068.txt",9
"2069.txt",9
"206.txt",5
"2070.txt",9
"2071.txt",2
"2072.txt",9
"2073.txt",9
"2074.txt",6
"2075.txt",6
"2076.txt",9
"2077.txt",6
"2078.txt",9
"2079.txt",1
"207.txt",5
"2080.txt",6
"2081.txt",3
"2082.txt",1
"2083.txt",1
"2084.txt",1
"2085.txt",4
"2086.txt",4
"2087.txt",9
"2088.txt",3
"2089.txt",4
"208.txt",7
"2090.txt",3
"2091.txt",1
"2092.txt",4
"2093.txt",3
"2094.txt",10
"2095.txt",8
"2096.txt",4
"2097.txt",3
"2098.txt",4
"2099.txt",3
"209.txt",8
"20.txt",7
"2100.txt",5
"2101.txt",3
"2102.txt",9
"2103.txt",9
"2104.txt",2
"2105.txt",5
"2106.txt",4
"2107.txt",2
"2108.txt",4
"2109.txt",1
"210.txt",10
"2110.txt",2
"2111.txt",8
"2112.txt",1
"2113.txt",4
"2114.txt",8
"2115.txt",4
"2116.txt",7
"2118.txt",8
"2119.txt",5
"211.txt",3
"2120.txt",1
"2121.txt",9
"2122.txt",9
"2123.txt",10
"2124.txt",3
"2125.txt",5
"2126.txt",2
"2127.txt",7
"2128.txt",5
"2129.txt",7
"212.txt",3
"2130.txt",6
"2131.txt",10
"2132.txt",1
"2133.txt",3
"2134.txt",3
"2135.txt",6
"2136.txt",2
"2137.txt",6
"2138.txt",3
"2139.txt",3
"213.txt",2
"2140.txt",3
"2141.txt",1
"2143.txt",2
"2144.txt",6
"2145.txt",1
"2146.txt",4
"2147.txt",1
"2148.txt",10
"214.txt",10
"2150.txt",4
"2151.txt",8
"2152.txt",10
"2153.txt",1
"2154.txt",9
"2155.txt",9
"2156.txt",5
"2157.txt",9
"2158.txt",3
"2159.txt",1
"215.txt",3
"2160.txt",9
"2161.txt",9
"2162.txt",2
"2163.txt",3
"2164.txt",2
"2165.txt",3
"2166.txt",7
"2167.txt",4
"2168.txt",4
"2169.txt",8
"216.txt",6
"2170.txt",9
"2171.txt",6
"2172.txt",7
"2173.txt",2
"2174.txt",1
"2175.txt",9
"2176.txt",9
"2177.txt",5
"2178.txt",9
"2179.txt",9
"217.txt",4
"2180.txt",8
"2181.txt",7
"2182.txt",10
"2183.txt",9
"2184.txt",1
"2185.txt",3
"2186.txt",9
"2187.txt",6
"2188.txt",1
"2189.txt",9
"218.txt",10
"2190.txt",9
"2191.txt",6
"2192.txt",1
"2193.txt",9
"2194.txt",4
"2195.txt",5
"2196.txt",1
"2198.txt",9
"2199.txt",10
"219.txt",6
"21.txt",1
"2200.txt",9
"2201.txt",6
"2202.txt",3
"2204.txt",9
"2205.txt",4
"2206.txt",5
"2207.txt",1
"2208.txt",9
"220.txt",8
"2210.txt",7
"2211.txt",4
"2213.txt",1
"2214.txt",9
"2215.txt",8
"2216.txt",6
"2217.txt",4
"2218.txt",1
"2219.txt",9
"221.txt",3
"2220.txt",4
"2221.txt",8
"2222.txt",5
"2223.txt",3
"2224.txt",2
"2225.txt",6
"2226.txt",9
"2228.txt",10
"2229.txt",7
"222.txt",8
"2231.txt",8
"2232.txt",4
"2233.txt",8
"2234.txt",5
"2235.txt",2
"2236.txt",5
"223.txt",7
"2241.txt",1
"2242.txt",2
"2243.txt",9
"2244.txt",6
"2245.txt",5
"2247.txt",5
"2248.txt",7
"2249.txt",2
"224.txt",10
"2250.txt",9
"2251.txt",9
"2252.txt",1
"2253.txt",9
"2254.txt",9
"2255.txt",3
"2256.txt",4
"2257.txt",4
"2258.txt",2
"2259.txt",9
"225.txt",10
"2260.txt",5
"2261.txt",6
"2262.txt",2
"2263.txt",5
"2264.txt",9
"2265.txt",4
"2266.txt",7
"2267.txt",2
"2268.txt",1
"2269.txt",2
"226.txt",4
"2270.txt",6
"2271.txt",8
"2272.txt",3
"2273.txt",1
"2274.txt",3
"2275.txt",9
"2276.txt",2
"2277.txt",2
"2278.txt",3
"2279.txt",3
"227.txt",10
"2280.txt",3
"2281.txt",6
"2282.txt",9
"2283.txt",9
"2284.txt",10
"2285.txt",10
"2286.txt",6
"2287.txt",3
"2288.txt",5
"2289.txt",2
"228.txt",1
"2290.txt",8
"2291.txt",2
"2292.txt",2
"2293.txt",6
"2294.txt",2
"2295.txt",2
"2296.txt",2
"2297.txt",7
"2298.txt",2
"2299.txt",3
"229.txt",2
"22.txt",3
"2300.txt",8
"2301.txt",2
"2302.txt",1
"2303.txt",1
"2304.txt",2
"2305.txt",7
"2306.txt",3
"2307.txt",5
"2308.txt",2
"230.txt",5
"2310.txt",2
"2311.txt",1
"2312.txt",10
"2313.txt",7
"2314.txt",3
"2315.txt",3
"2316.txt",3
"2317.txt",3
"2318.txt",8
"2319.txt",8
"231.txt",10
"2320.txt",2
"2321.txt",1
"2322.txt",6
"2323.txt",6
"2324.txt",4
"2325.txt",2
"2326.txt",1
"2327.txt",4
"2328.txt",5
"2329.txt",4
"232.txt",3
"2330.txt",6
"2331.txt",8
"2332.txt",6
"2333.txt",2
"2334.txt",3
"2335.txt",3
"2336.txt",2
"2337.txt",7
"2338.txt",6
"2339.txt",2
"233.txt",2
"2340.txt",3
"2341.txt",1
"2342.txt",8
"2343.txt",3
"2344.txt",3
"2345.txt",3
"2346.txt",8
"2347.txt",1
"2348.txt",1
"2349.txt",8
"234.txt",9
"2350.txt",8
"2351.txt",3
"2352.txt",3
"2353.txt",8
"2354.txt",1
"2355.txt",3
"2356.txt",5
"2357.txt",1
"2358.txt",3
"2359.txt",1
"235.txt",3
"2360.txt",1
"2361.txt",8
"2362.txt",1
"2363.txt",3
"2364.txt",4
"2365.txt",3
"2366.txt",4
"2367.txt",4
"2369.txt",10
"236.txt",3
"2370.txt",6
"2371.txt",6
"2372.txt",3
"2373.txt",6
"2374.txt",2
"2375.txt",6
"2376.txt",7
"2377.txt",1
"2378.txt",1
"2379.txt",2
"237.txt",1
"2380.txt",7
"2381.txt",10
"2382.txt",1
"2383.txt",2
"2384.txt",1
"2385.txt",1
"2386.txt",1
"2387.txt",8
"2388.txt",1
"2389.txt",3
"2390.txt",9
"2391.txt",6
"2392.txt",6
"2393.txt",2
"2394.txt",3
"2395.txt",2
"2396.txt",10
"2397.txt",6
"2398.txt",2
"2399.txt",5
"239.txt",1
"23.txt",7
"2400.txt",7
"2401.txt",4
"2402.txt",2
"2403.txt",9
"2404.txt",7
"2405.txt",2
"2406.txt",4
"2407.txt",7
"2408.txt",7
"2409.txt",7
"240.txt",4
"2410.txt",2
"2411.txt",5
"2412.txt",6
"2413.txt",1
"2414.txt",7
"2415.txt",2
"2416.txt",2
"2417.txt",1
"2418.txt",2
"2419.txt",7
"241.txt",4
"2420.txt",7
"2421.txt",2
"2422.txt",6
"2423.txt",6
"2424.txt",2
"2425.txt",7
"2426.txt",6
"2427.txt",4
"2428.txt",2
"2429.txt",1
"242.txt",3
"2430.txt",9
"2431.txt",10
"2432.txt",8
"2433.txt",2
"2434.txt",2
"2435.txt",6
"2436.txt",2
